2018-06-19 13:48:05 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52347]
2018-06-19 13:48:05 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:50:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:52:07 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:54:08 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:56:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 13:58:08 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 14:00:08 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 14:02:08 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 14:04:07 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 14:04:47 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 14:04:47 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 14:04:47 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 14:04:47 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 14:18:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52499]
2018-06-19 14:18:04 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 14:18:27 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 14:18:27 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 14:18:27 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 14:18:27 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 14:18:33 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52500]
2018-06-19 14:18:33 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 14:18:34 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 14:18:34 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 14:18:34 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 14:18:34 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 14:18:38 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52501]
2018-06-19 14:18:38 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
